rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,sup_devices.num,lang.num,SizeCatg,PriceCatg
206,2,3,3.5,1,37,3,1,1
786,0,2,0.0,2,38,2,1,0
1207,2,3,4.5,1,37,1,0,1
6879,54,3,4.5,5,38,1,1,1
5683,7,3,4.5,2,24,1,1,0
0,0,1,0.0,1,43,2,0,1
5059,20,3,3.5,5,37,8,2,1
10158,475,3,4.5,1,37,31,1,1
291,0,3,0.0,1,37,1,1,0
31,15,2,3.0,1,43,1,0,1
35981,237,3,4.0,1,37,1,1,0
14493,384,3,4.5,5,40,1,0,1
853,11,3,5.0,2,40,11,0,1
990,4,2,2.0,2,24,1,0,0
676,0,2,0.0,2,37,1,0,0
128739,5515,3,4.5,5,38,3,0,0
1556,25,3,5.0,1,38,11,0,1
12331,11,3,4.5,5,38,5,1,1
22,1,3,5.0,1,37,2,0,1
6527,15,3,4.0,5,37,1,0,1
13049,1180,3,4.5,5,43,1,0,1
3692,27,2,2.0,1,37,1,0,0
41446,566,3,4.5,5,43,1,0,1
8221,0,3,0.0,1,37,1,0,0
36190,221,3,4.0,5,43,1,0,1
14491,304,3,4.5,5,40,1,0,1
99244,1760,3,4.5,1,38,11,0,0
0,0,1,0.0,1,43,1,0,0
75714,481,3,4.5,5,24,1,2,0
35161,1316,3,4.0,5,43,1,0,1
11875,73,3,4.5,1,37,1,0,0
122,0,2,0.0,1,37,1,1,0
1083,36,1,2.5,1,37,4,0,0
1575,104,2,4.0,5,38,1,2,1
24,7,2,4.0,5,37,8,1,1
53,0,3,0.0,1,37,2,0,0
739,145,2,4.0,5,40,1,1,1
100477,35,3,4.5,1,37,1,1,0
718,4,3,2.5,1,37,1,1,0
16849,1125,3,4.5,1,38,12,1,0
192,2,1,3.0,1,38,1,1,0
7,0,3,0.0,1,38,5,0,1
1114,110,3,4.0,5,45,1,0,1
1218,11,3,4.5,1,38,12,0,1
9948,211,3,4.0,5,40,1,0,1
528,1,3,2.0,1,37,1,0,1
4675,15,3,5.0,5,37,1,1,1
22302,0,3,0.0,1,37,29,1,0
3849,164,3,4.5,1,24,2,0,1
233,56,3,5.0,1,37,1,0,0
1798,8,3,4.5,1,37,1,0,0
916,39,3,4.5,1,37,10,0,1
2956,94,3,4.0,1,37,32,0,1
21648,460,3,3.5,5,37,8,2,1
5163,86,3,4.5,1,38,11,0,1
49,2,3,4.5,2,38,2,0,1
6081,15,3,4.5,1,37,1,0,0
4401,2927,3,5.0,5,47,1,0,1
2231,3,3,5.0,1,37,30,1,1
327025,82,3,4.0,5,38,13,1,0
10463,5018,3,4.0,5,43,1,2,1
28672,11,3,4.5,5,37,1,0,1
4716,718,3,4.5,1,38,1,0,1
6278,98,2,3.5,5,43,1,1,1
0,0,1,0.0,1,37,2,0,0
8304,1401,3,4.5,5,47,1,0,1
15984,97,2,3.5,2,37,1,1,0
5079,241,3,4.5,1,37,1,0,1
2416,45,3,4.5,1,37,12,1,0
36,0,3,0.0,1,37,4,0,0
8165,110,2,3.5,5,24,8,2,1
7446,8,3,4.5,2,24,1,0,0
26419,1157,3,4.5,5,43,1,1,1
208,13,3,4.0,2,38,1,0,1
7565,80,2,3.0,1,37,28,0,1
3040,14,3,4.0,1,37,4,0,1
145549,330,3,4.5,1,37,1,1,0
835,84,3,4.5,1,37,16,0,1
4262,668,3,4.0,1,43,6,0,1
219,1,3,5.0,1,37,1,0,1
56110,57,3,4.0,1,37,2,1,0
32341,1707,3,5.0,1,37,6,0,0
1419,216,3,3.5,5,43,1,2,1
3303,37,3,4.5,1,40,1,1,1
2058,4,3,4.0,2,24,3,1,0
990,50,3,3.5,5,37,6,1,1
1986,14,3,4.5,2,24,11,0,1
8981,66,3,4.0,5,43,1,0,1
554,1,3,1.0,5,38,6,1,1
8176,13,3,5.0,1,37,1,0,0
53,5,1,1.0,1,37,1,1,1
6,1,1,1.0,1,39,2,0,1
8,0,2,0.0,1,37,1,0,0
467,1,3,5.0,1,37,1,0,0
2394,0,3,0.0,2,24,2,1,0
287,18,3,4.5,1,37,3,0,1
28189,2723,3,5.0,1,37,22,1,0
868,8,3,4.5,1,37,21,0,1
4094,15,3,3.5,5,24,1,0,1
3152,41,3,4.5,2,37,34,0,1
2950,1671,3,4.5,1,37,12,0,1
3245,53,3,4.0,1,37,1,0,1
9341,53,3,3.5,5,43,1,0,1
981,4,2,2.0,1,24,8,0,0
735,288,3,4.5,5,43,1,0,1
15116,2692,3,5.0,1,37,31,1,1
39638,1213,3,4.5,1,37,33,1,0
7256,491,2,2.5,2,37,19,0,0
12590,126,3,3.5,1,38,14,0,1
13258,62,3,4.0,5,37,4,1,1
0,0,1,0.0,1,37,1,2,1
